Domain;Sample URL;SERP appearances;Best position;Primary focus;Detected queries
groupstroy-s.ru;https://groupstroy-s.ru/;5;1;Строительство/под ключ;проектирование домов махачкала, сколько стоит построить дом в дагестане, строительство домов в дагестане, строительство домов махачкала, строительство домов под ключ махачкала
stroitelstvo-domov05.ru;https://stroitelstvo-domov05.ru/montazh-inzhenernyh-sistem/;5;2;Инженерия;проект инженерных сетей частного дома махачкала, сколько стоит построить дом в дагестане, строительство домов в дагестане, строительство домов махачкала, строительство домов под ключ махачкала
evereststroi.com;https://evereststroi.com/mahachkala/;4;3;Проектирование;сколько стоит построить дом в дагестане, строительство домов в дагестане, строительство домов махачкала, строительство домов под ключ махачкала
stroytime05.ru;https://stroytime05.ru/;4;3;Строительство/под ключ;проектирование домов махачкала, строительство домов в дагестане, строительство домов махачкала, строительство домов под ключ махачкала
mahachkala.tgv-stroy.ru;https://mahachkala.tgv-stroy.ru/;3;7;Проектирование;проектирование домов махачкала, сколько стоит построить дом в дагестане, строительство домов под ключ махачкала
mahachkala.maxistroy116.ru;https://mahachkala.maxistroy116.ru/proektirovanie-zhilyh-domov-i-kottedzhej/;3;9;Проектирование;проект инженерных сетей частного дома махачкала, сколько стоит построить дом в дагестане, строительство домов под ключ махачкала
mkh.grouphe.ru;https://mkh.grouphe.ru/engineering_ind/;2;1;Проектирование;проект инженерных сетей частного дома махачкала, проектирование домов махачкала
mahachkala.prysm.group;https://mahachkala.prysm.group/arhitektura/proektirovanie-zhilyh-zdanij/;2;2;Проектирование;проект инженерных сетей частного дома махачкала, проектирование домов махачкала
makhachkala.s5r.ru;https://makhachkala.s5r.ru/;2;3;Отделочные работы;отделочные работы махачкала, цены на отделочные работы в махачкале
makhachkala.kamprok.ru;https://makhachkala.kamprok.ru/;2;6;Строительство/под ключ;сколько стоит построить дом в дагестане, строительство домов под ключ махачкала
