question_keyword;source;freq_world;freq_exact;direction;intent
сколько стоит проект дома под ключ;ключи_дополняющие.msk.csv;127;8;проектирование;commercial
сколько стоит построить каркасный дом в 2025;ключи_дополняющие.msk.csv;333;46;строительство;commercial
какие каркасные дома бывают;ключи_дополняющие.msk.csv;173;40;строительство;informational
сколько стоит дом построить в дагестане;ключевики_дагестан.csv;42;19;строительство;commercial
сколько стоит построить дом в дагестане;ключевики_дагестан.csv;42;19;строительство;commercial
сколько стоит монтаж каркасного дома за м2 на сегодня;ключи_дополняющие.msk.csv;24;15;строительство;commercial
как строят каркасный дом видео;ключи_дополняющие.msk.csv;95;13;строительство;informational
какой дом лучше каркасный или блочный;ключи_дополняющие.msk.csv;18;13;строительство;informational
какой лучше дом каркасный или блочный;ключи_дополняющие.msk.csv;18;13;строительство;informational
какой дом лучше построить для постоянного проживания каркасный или из пеноблоков;ключи_дополняющие.msk.csv;12;10;строительство;informational
что лучше сруб или каркасный дом;ключи_дополняющие.msk.csv;31;7;строительство;informational
сколько стоит каркасный домик;ключи_дополняющие.msk.csv;150;6;строительство;commercial
какой кирпич лучше для строительства дома в дагестане;ключевики_дагестан.csv;2;2;строительство;informational
